Date,Open,High,Low,Close,Adj Close,Volume
2024-05-03,743.000000,745.000000,730.340027,734.969971,733.719360,4595100
2024-05-06,738.039978,766.989990,736.000000,766.679993,765.375427,3398300
2024-05-07,768.900024,779.090027,762.109985,777.770020,776.446594,2879400
2024-05-08,779.099976,781.349976,772.200012,775.000000,773.681274,2089800
2024-05-09,777.000000,784.000000,769.200012,771.549988,770.237122,2522100
2024-05-10,774.020020,777.419983,760.000000,760.000000,758.706787,2082300
2024-05-13,763.500000,763.549988,750.530029,757.700012,756.410706,1848900
2024-05-14,751.520020,764.500000,751.520020,763.979980,762.679993,1956200
2024-05-15,764.150024,787.659973,763.099976,787.020020,787.020020,3038300
2024-05-16,784.710022,786.479980,770.140015,771.119995,771.119995,2299700
2024-05-17,772.890015,774.869995,767.099976,770.000000,770.000000,1670300
2024-05-20,766.900024,784.330017,766.119995,783.179993,783.179993,2188800
2024-05-21,792.460022,816.609985,791.390015,803.169983,803.169983,4334500
2024-05-22,801.000000,804.880005,795.250000,802.909973,802.909973,1767500
2024-05-23,810.000000,820.609985,802.159973,808.450012,808.450012,3025800
2024-05-24,808.000000,810.119995,804.150024,807.429993,807.429993,1774600
2024-05-28,809.000000,809.000000,788.250000,807.859985,807.859985,2483500
2024-05-29,803.000000,815.609985,802.090027,811.530029,811.530029,2380000
2024-05-30,812.789978,819.989990,806.109985,815.059998,815.059998,1986300
2024-05-31,818.799988,826.210022,811.099976,820.340027,820.340027,4472100
2024-06-03,823.830017,838.280029,818.500000,831.260010,831.260010,2537200
2024-06-04,834.000000,835.469971,825.309998,832.590027,832.590027,1748300
2024-06-05,830.489990,838.450012,817.619995,831.760010,831.760010,2169000
2024-06-06,834.880005,846.969971,831.880005,837.289978,837.289978,2109000
2024-06-07,837.760010,856.809998,837.010010,849.989990,849.989990,2468800
2024-06-10,853.979980,871.630005,849.390015,865.000000,865.000000,3444500
2024-06-11,882.140015,882.140015,852.229980,865.820007,865.820007,4109100
2024-06-12,872.000000,872.000000,853.849976,867.299988,867.299988,2594600
2024-06-13,869.030029,885.059998,861.500000,883.330017,883.330017,2243400
2024-06-14,882.330017,884.609985,876.000000,878.450012,878.450012,2023300
2024-06-17,878.000000,892.200012,876.859985,885.010010,885.010010,2532200
2024-06-18,887.000000,894.869995,884.000000,891.460022,891.460022,2437000
2024-06-20,893.000000,905.450012,870.130005,885.989990,885.989990,3360000
2024-06-21,885.659973,891.969971,879.799988,883.880005,883.880005,3448700
2024-06-24,889.979980,903.580017,882.940002,890.109985,890.109985,2878200
2024-06-25,891.770020,909.419983,891.500000,904.609985,904.609985,2839800
2024-06-26,904.000000,906.349976,897.840027,901.260010,901.260010,2232100
2024-06-27,903.530029,909.570007,899.719971,909.039978,909.039978,1948100
2024-06-28,911.309998,915.539978,905.380005,905.380005,905.380005,3375400
2024-07-01,911.770020,916.830017,904.309998,914.369995,914.369995,2546100
2024-07-02,902.710022,912.000000,878.500000,906.710022,906.710022,4584600
2024-07-03,911.000000,918.500000,884.000000,898.099976,898.099976,3078400
2024-07-05,898.429993,916.460022,896.900024,914.570007,914.570007,2879900
