Date,Open,High,Low,Close,Adj Close,Volume
2023-07-07,850.429993,857.989990,844.659973,846.750000,832.111328,1940100
2023-07-10,848.280029,879.169983,848.280029,877.729980,862.555725,3062200
2023-07-11,881.109985,883.000000,864.630005,882.049988,866.801086,2550400
2023-07-12,889.000000,897.590027,882.000000,889.950012,874.564575,2819700
2023-07-13,898.940002,898.940002,878.270020,890.359985,874.967407,2591200
2023-07-14,886.159973,903.349976,886.159973,888.580017,873.218201,1850300
2023-07-17,891.010010,913.210022,889.780029,910.349976,894.611755,2681900
2023-07-18,905.979980,909.900024,898.260010,903.429993,887.811462,2451800
2023-07-19,897.270020,905.969971,885.630005,901.369995,885.787048,2411800
2023-07-20,892.539978,907.000000,886.000000,888.340027,872.982422,2826800
2023-07-21,904.489990,911.150024,893.830017,896.750000,881.246887,7426100
2023-07-24,900.799988,905.440002,894.229980,901.590027,886.003296,1999200
2023-07-25,900.619995,923.179993,900.619995,917.989990,902.119751,2004200
2023-07-26,909.000000,910.619995,887.650024,893.090027,877.650208,1987700
2023-07-27,908.500000,909.849976,886.000000,893.530029,878.082642,2192200
2023-07-28,899.320007,903.559998,893.950012,899.789978,884.234375,1879100
2023-07-31,897.500000,901.000000,891.000000,898.650024,883.114136,1495200
2023-08-01,898.979980,920.619995,897.700012,920.000000,904.095032,1968300
2023-08-02,912.299988,913.000000,890.289978,892.299988,876.873840,2687700
2023-08-03,886.619995,895.330017,881.080017,884.979980,869.680359,1828100
2023-08-04,884.979980,893.619995,873.369995,881.650024,866.407959,2115600
2023-08-07,887.679993,897.369995,885.270020,897.059998,881.551575,1114600
2023-08-08,890.090027,890.599976,873.400024,883.159973,867.891846,1408100
2023-08-09,882.719971,883.530029,848.719971,850.729980,836.022522,2467200
2023-08-10,853.119995,861.500000,837.070007,842.900024,828.327942,2018600
2023-08-11,834.010010,836.400024,823.479980,829.760010,815.415100,2032300
2023-08-14,831.130005,854.179993,827.380005,854.099976,839.334290,1768800
2023-08-15,849.210022,854.619995,836.460022,842.520020,827.954529,1403500
2023-08-16,847.789978,854.500000,831.960022,832.989990,818.589233,1600300
2023-08-17,836.510010,839.419983,827.010010,827.099976,812.801086,1922800
2023-08-18,820.000000,828.169983,812.000000,825.840027,811.562866,1775400
2023-08-21,834.059998,867.340027,831.770020,865.140015,850.183411,3001200
2023-08-22,873.409973,874.750000,850.880005,855.789978,840.995056,1708200
2023-08-23,850.770020,878.190002,850.000000,876.580017,861.425659,1969200
2023-08-24,902.349976,909.859985,852.460022,854.460022,839.688110,3093400
2023-08-25,857.020020,869.440002,837.669983,851.820007,837.093689,2418100
2023-08-28,856.390015,864.130005,847.109985,861.080017,846.193665,1430600
2023-08-29,858.400024,892.840027,856.419983,889.929993,874.544800,2782200
2023-08-30,892.390015,898.710022,879.109985,892.280029,876.854248,2323400
2023-08-31,898.010010,923.669983,893.770020,922.890015,906.935059,5520300
2023-09-01,901.869995,901.869995,864.659973,872.520020,857.435852,6494200
2023-09-05,869.510010,883.000000,867.000000,872.169983,857.091858,2480800
2023-09-06,872.500000,877.369995,866.739990,872.270020,857.190186,2014200
2023-09-07,859.500000,861.690002,840.520020,857.030029,842.213623,2778900
2023-09-08,855.000000,860.830017,850.119995,857.549988,842.724609,1681000
2023-09-11,868.770020,869.000000,845.650024,859.140015,844.287109,1571000
2023-09-12,850.239990,858.270020,841.659973,844.520020,829.919861,1668000
2023-09-13,847.190002,859.109985,844.239990,852.929993,838.184509,1741300
2023-09-14,859.030029,876.669983,855.000000,871.640015,856.571045,1964800
2023-09-15,868.159973,868.159973,842.900024,851.679993,836.956177,5010700
2023-09-18,842.580017,856.330017,840.000000,850.000000,835.305115,1654100
2023-09-19,845.989990,851.030029,838.500000,849.200012,834.518982,1312600
2023-09-20,849.989990,849.989990,830.349976,830.570007,820.656433,1368100
2023-09-21,795.109985,822.500000,795.090027,808.359985,798.711548,5365400
2023-09-22,811.239990,830.580017,810.380005,829.080017,819.184265,2776400
2023-09-25,828.000000,838.559998,823.010010,833.890015,823.936829,1564800
2023-09-26,829.169983,830.270020,811.210022,816.190002,806.448120,1764100
2023-09-27,819.260010,823.679993,804.380005,816.809998,807.060608,1535200
2023-09-28,820.169983,838.859985,814.679993,832.000000,822.069397,1618000
2023-09-29,836.450012,844.039978,822.909973,830.580017,820.666382,1647600
2023-10-02,829.059998,838.559998,823.500000,834.950012,824.984192,1467600
